Year,Month,starwas2duration
2006,1,88
2006,2,69
2006,3,80
2006,4,62
2006,5,68
2006,6,118
2006,7,85
2006,8,100
2006,9,99
2006,10,78
2006,11,74
2006,12,55
2007,1,27
2007,2,44
2007,3,57
2007,4,47
2007,5,49
2007,6,70
2007,7,75
2007,8,52
2007,9,59
2007,10,40
2007,11,55
2007,12,66
2008,1,68
2008,2,61
2008,3,53
2008,4,70
2008,5,77
2008,6,70
2008,7,93
2008,8,78
2008,9,81
2008,10,88
2008,11,69
2008,12,65
2009,1,99
2009,2,91
2009,3,57
2009,4,56
2009,5,49
2009,6,69
2009,7,59
2009,8,72
2009,9,38
2009,10,55
2009,11,56
2009,12,57
2010,1,54
2010,2,49
2010,3,36
2010,4,47
2010,5,38
2010,6,44
2010,7,47
2010,8,40
2010,9,49
2010,10,89
2010,11,69
2010,12,81
2011,1,67
2011,2,57
2011,3,93
2011,4,81
2011,5,73
2011,6,70
2011,7,67
2011,8,42
2011,9,28
2011,10,37
2011,11,22
2011,12,30
2012,1,27
2012,2,22
2012,3,31
2012,4,24
2012,5,24
2012,6,29
2012,7,24
2012,8,18
2012,9,19
2012,10,25
2012,11,14
2012,12,20
2013,1,23
2013,2,15
2013,3,25
2013,4,23
2013,5,10
2013,6,17
2013,7,31
2013,8,33
2013,9,35
2013,10,30
2013,11,29
2013,12,19
2014,1,36
2014,2,28
2014,3,30
2014,4,27
2014,5,19
2014,6,33
2014,7,19
2014,8,15
2014,9,15
2014,10,11
2014,11,11
2014,12,12
2015,1,16
2015,2,10
2015,3,7
2015,4,10
2015,5,9
2015,6,10
2015,7,9
2015,8,11
2015,9,6
2015,10,13
2015,11,14
2015,12,10
